player,player_norm,team,team_norm,role,FVM,ballotaggio,p_start,Pv_hat,AFCON_RISK,START_TIER,Mv_hat,G_perPv_hat,A_perPv_hat,YC_perPv_hat,RC_perPv_hat,OG_perPv_hat,GC_perPv_hat,PKsave_perPv_hat,G_hat,A_hat,YC_hat,RC_hat,OG_hat,GC_hat,PKsave_hat,PK_taken_hat,PK_goals_hat,SP_assists_hat,Mod_share_hat
Sommer,sommer,Inter,inter,P,90,False,0.85,32.3,0,starter,6.18,0.0,0.0,0.0,0.0,0.0,0.97,0.03,0.0,0.0,0.0,0.0,0.0,31.321,0.979,0.0,0.0,0.0,12.92
Di Gregorio,di gregorio,Juventus,juventus,P,83,False,0.85,32.3,0,starter,6.15,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,31.321,0.0,0.0,0.0,0.0,6.46
Maignan,maignan,Milan,milan,P,81,False,0.85,32.3,0,starter,6.18,0.0,0.0,0.027,0.0,0.0,1.108,0.027,0.0,0.0,0.873,0.0,0.0,35.792,0.873,0.0,0.0,0.0,6.46
Meret,meret,Napoli,napoli,P,92,True,0.65,24.7,0,battle,6.32,0.0,0.0,0.0,0.0,0.029,0.735,0.059,0.0,0.0,0.0,0.0,0.726,18.162,1.453,0.0,0.0,0.0,6.46
Svilar,svilar,Roma,roma,P,82,False,0.85,32.3,0,starter,6.32,0.0,0.0,0.026,0.0,0.0,0.921,0.0,0.0,0.0,0.85,0.0,0.0,29.75,0.0,0.0,0.0,0.0,6.46
Carnesecchi,carnesecchi,Atalanta,atalanta,P,71,False,0.85,32.3,0,starter,6.34,0.0,0.0,0.029,0.0,0.0,1.0,0.0,0.0,0.0,0.95,0.0,0.0,32.3,0.0,0.0,0.0,0.0,6.46
De Gea,de gea,Fiorentina,fiorentina,P,62,False,0.85,32.3,0,starter,6.34,0.0,0.0,0.029,0.0,0.0,1.086,0.057,0.0,0.0,0.923,0.0,0.0,35.069,1.846,0.0,0.0,0.0,6.46
Provedel,provedel,Lazio,lazio,P,54,True,0.65,24.7,0,battle,5.98,0.0,0.0,0.0,0.0,0.0,1.448,0.0,0.0,0.0,0.0,0.0,0.0,35.772,0.0,0.0,0.0,0.0,6.46
Skorupski,skorupski,Bologna,bologna,P,49,False,0.85,32.3,0,starter,6.17,0.0,0.0,0.037,0.0,0.0,1.222,0.037,0.0,0.0,1.196,0.0,0.0,39.478,1.196,0.0,0.0,0.0,6.46
Butez,butez,Como,como,P,32,False,0.85,32.3,0,starter,6.22,0.0,0.0,0.0,0.003,0.0,1.032,0.0,0.0,0.0,0.0,0.085,0.0,33.32,0.0,0.0,0.0,0.0,6.46
Israel,israel,Torino,torino,P,30,False,0.85,32.3,0,starter,3.2,0.0,0.0,0.079,0.0,0.0,1.184,0.105,0.0,0.0,2.55,0.0,0.0,38.25,3.4,0.0,0.0,0.0,6.46
Leali,leali,Genoa,genoa,P,28,False,0.85,32.3,0,starter,6.16,0.0,0.0,0.034,0.0,0.034,1.069,0.034,0.0,0.0,1.114,0.0,1.114,34.528,1.114,0.0,0.0,0.0,6.46
Caprile,caprile,Cagliari,cagliari,P,18,False,0.85,32.3,0,starter,6.2,0.0,0.0,0.0,0.0,0.0,1.045,0.0,0.0,0.0,0.0,0.0,0.0,33.768,0.0,0.0,0.0,0.0,6.46
Suzuki,suzuki,Parma,parma,P,15,False,0.85,32.3,0,starter,6.22,0.0,0.0,0.0,0.027,0.0,1.432,0.0,0.0,0.0,0.0,0.873,0.0,46.268,0.0,0.0,0.0,0.0,6.46
Turati,turati,Sassuolo,sassuolo,P,13,False,0.85,32.3,0,starter,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.799,0.085,0.253,40.964,0.787,0.0,0.0,0.0,6.46
Falcone,falcone,Lecce,lecce,P,14,False,0.85,32.3,0,starter,6.26,0.0,0.0,0.053,0.0,0.0,1.526,0.026,0.0,0.0,1.7,0.0,0.0,49.3,0.85,0.0,0.0,0.0,6.46
Okoye,okoye,Udinese,udinese,P,17,True,0.65,20.7,1,battle,6.1,0.0,0.0,0.04,0.0,0.04,1.6,0.0,0.0,0.0,0.828,0.0,0.828,33.12,0.0,0.0,0.0,0.0,0.0
Audero,audero,Cremonese,cremonese,P,12,False,0.85,32.3,0,starter,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.799,0.085,0.253,40.964,0.787,0.0,0.0,0.0,6.46
Montipò,montipo,Verona,verona,P,10,False,0.85,32.3,0,starter,6.19,0.0,0.0,0.0,0.0,0.028,1.778,0.028,0.0,0.0,0.0,0.0,0.897,57.422,0.897,0.0,0.0,0.0,6.46
Milinkovic-Savic V.,milinkovic-savic v,Napoli,napoli,P,11,True,0.65,24.7,0,battle,4.07,0.0,0.0,0.0,0.0,0.021,1.021,0.042,0.0,0.0,0.0,0.0,0.515,25.215,1.029,0.0,0.0,0.0,0.0
Sava,sava,Udinese,udinese,P,8,True,0.65,24.7,0,battle,6.04,0.0,0.0,0.071,0.0,0.011,1.389,0.0,0.0,0.0,1.755,0.0,0.26,34.32,0.0,0.0,0.0,0.0,6.46
Ravaglia F.,ravaglia f,Bologna,bologna,P,9,,0.35,13.3,0,backup,6.0,0.0,0.0,0.01,0.0,0.0,1.182,0.01,0.0,0.0,0.136,0.0,0.0,15.721,0.136,0.0,0.0,0.0,0.0
Mandas,mandas,Lazio,lazio,P,12,True,0.65,24.7,0,battle,6.28,0.0,0.0,0.0,0.0,0.0,1.059,0.0,0.0,0.0,0.0,0.0,0.0,26.162,0.0,0.0,0.0,0.0,0.0
Scuffet,scuffet,Pisa,pisa,P,5,True,0.65,24.7,0,battle,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.611,0.065,0.193,31.326,0.602,0.0,0.0,0.0,6.46
Semper,semper,Pisa,pisa,P,7,True,0.65,24.7,0,battle,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.611,0.065,0.193,31.326,0.602,0.0,0.0,0.0,0.0
Muric,muric,Sassuolo,sassuolo,P,6,,0.35,13.3,0,backup,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.329,0.035,0.104,16.868,0.324,0.0,0.0,0.0,0.0
Martinez Jo.,martinez jo,Inter,inter,P,5,False,0.85,32.3,0,starter,6.3,0.0,0.0,0.0,0.0,0.0,0.841,0.02,0.0,0.0,0.0,0.0,0.0,27.158,0.638,0.0,0.0,0.0,0.0
Rossi F.,rossi f,Atalanta,atalanta,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.026,0.0,0.0,0.974,0.0,0.0,0.0,0.35,0.0,0.0,12.95,0.0,0.0,0.0,0.0,0.0
Sportiello,sportiello,Atalanta,atalanta,P,1,,0.35,13.3,0,backup,4.627,0.0,0.0,0.026,0.0,0.0,0.974,0.0,0.0,0.0,0.35,0.0,0.0,12.95,0.0,0.0,0.0,0.0,0.0
Pessina Mas.,pessina mas,Bologna,bologna,P,1,,0.35,13.3,0,backup,4.057,0.0,0.0,0.026,0.0,0.0,1.205,0.026,0.0,0.0,0.341,0.0,0.0,16.028,0.341,0.0,0.0,0.0,0.0
Ciocci,ciocci,Cagliari,cagliari,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,1.172,0.0,0.0,0.0,0.0,0.0,0.0,15.593,0.0,0.0,0.0,0.0,0.0
Radunovic,radunovic,Cagliari,cagliari,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,1.172,0.0,0.0,0.0,0.0,0.0,0.0,15.593,0.0,0.0,0.0,0.0,0.0
Vigorito,vigorito,Como,como,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.026,0.0,1.316,0.0,0.0,0.0,0.0,0.35,0.0,17.5,0.0,0.0,0.0,0.0,0.0
Nava,nava,Cremonese,cremonese,P,1,,0.35,13.3,0,backup,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.329,0.035,0.104,16.868,0.324,0.0,0.0,0.0,0.0
Martinelli T.,martinelli t,Fiorentina,fiorentina,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.026,0.0,0.0,1.079,0.053,0.0,0.0,0.35,0.0,0.0,14.35,0.7,0.0,0.0,0.0,0.0
Siegrist,siegrist,Genoa,genoa,P,1,,0.35,13.3,0,backup,6.5,0.0,0.0,0.028,0.0,0.028,1.056,0.028,0.0,0.0,0.374,0.0,0.374,14.048,0.374,0.0,0.0,0.0,0.0
Sommariva,sommariva,Genoa,genoa,P,1,,0.35,13.3,0,backup,7.0,0.0,0.0,0.03,0.0,0.03,1.059,0.03,0.0,0.0,0.395,0.0,0.395,14.09,0.395,0.0,0.0,0.0,0.0
Di Gennaro,di gennaro,Inter,inter,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,0.921,0.026,0.0,0.0,0.0,0.0,0.0,12.25,0.35,0.0,0.0,0.0,0.0
Perin,perin,Juventus,juventus,P,2,,0.35,13.3,0,backup,6.1,0.0,0.0,0.0,0.0,0.0,0.841,0.0,0.0,0.0,0.0,0.0,0.0,11.182,0.0,0.0,0.0,0.0,0.0
Pinsoglio,pinsoglio,Juventus,juventus,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,0.921,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0.0,0.0,0.0,0.0,0.0
Furlanetto,furlanetto,Lazio,lazio,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,1.289,0.0,0.0,0.0,0.0,0.0,0.0,17.15,0.0,0.0,0.0,0.0,0.0
Fruchtl,fruchtl,Lecce,lecce,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.053,0.0,0.0,1.526,0.026,0.0,0.0,0.7,0.0,0.0,20.3,0.35,0.0,0.0,0.0,0.0
Samooja,samooja,Lecce,lecce,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.053,0.0,0.0,1.526,0.026,0.0,0.0,0.7,0.0,0.0,20.3,0.35,0.0,0.0,0.0,0.0
Terracciano,terracciano,Milan,milan,P,1,,0.35,13.3,0,backup,3.045,0.0,0.0,0.026,0.0,0.0,1.103,0.026,0.0,0.0,0.341,0.0,0.0,14.664,0.341,0.0,0.0,0.0,0.0
Torriani,torriani,Milan,milan,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.026,0.0,0.0,1.103,0.026,0.0,0.0,0.341,0.0,0.0,14.664,0.341,0.0,0.0,0.0,0.0
Contini,contini,Napoli,napoli,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.021,1.021,0.042,0.0,0.0,0.0,0.0,0.277,13.577,0.554,0.0,0.0,0.0,0.0
Corvi,corvi,Parma,parma,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.026,0.0,1.474,0.0,0.0,0.0,0.0,0.35,0.0,19.6,0.0,0.0,0.0,0.0,0.0
Rinaldi,rinaldi,Parma,parma,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.026,0.0,1.474,0.0,0.0,0.0,0.0,0.35,0.0,19.6,0.0,0.0,0.0,0.0,0.0
Nicolas,nicolas,Pisa,pisa,P,1,,0.35,13.3,0,backup,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.329,0.035,0.104,16.868,0.324,0.0,0.0,0.0,0.0
Zelezny,zelezny,Roma,roma,P,1,,0.35,13.3,0,backup,2.03,0.0,0.0,0.044,0.0,0.0,1.111,0.022,0.0,0.0,0.591,0.0,0.0,14.778,0.296,0.0,0.0,0.0,0.0
Gollini,gollini,Roma,roma,P,1,,0.35,13.3,0,backup,5.86,0.0,0.0,0.079,0.0,0.0,1.472,0.064,0.0,0.0,1.049,0.0,0.0,19.581,0.857,0.0,0.0,0.0,0.0
Russo A.,russo a,Sassuolo,sassuolo,P,1,,0.35,13.3,0,backup,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.329,0.035,0.104,16.868,0.324,0.0,0.0,0.0,0.0
Satalino,satalino,Sassuolo,sassuolo,P,1,,0.35,13.3,0,backup,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.329,0.035,0.104,16.868,0.324,0.0,0.0,0.0,0.0
Paleari,paleari,Torino,torino,P,1,,0.35,13.3,0,backup,6.5,0.0,0.0,0.075,0.0,0.0,1.275,0.1,0.0,0.0,0.997,0.0,0.0,16.957,1.33,0.0,0.0,0.0,0.0
Popa,popa,Torino,torino,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.079,0.0,0.0,1.184,0.105,0.0,0.0,1.05,0.0,0.0,15.75,1.4,0.0,0.0,0.0,0.0
Padelli,padelli,Udinese,udinese,P,1,,0.35,13.3,0,backup,6.5,0.0,0.0,0.05,0.0,0.025,1.4,0.0,0.0,0.0,0.665,0.0,0.332,18.62,0.0,0.0,0.0,0.0,0.0
Perilli,perilli,Verona,verona,P,1,,0.35,13.3,0,backup,6.0,0.0,0.0,0.0,0.0,0.024,1.663,0.024,0.0,0.0,0.0,0.0,0.315,22.12,0.315,0.0,0.0,0.0,0.0
Vasquez D.,vasquez d,Roma,roma,P,1,,0.35,13.3,0,backup,2.03,0.0,0.0,0.044,0.0,0.0,1.111,0.022,0.0,0.0,0.591,0.0,0.0,14.778,0.296,0.0,0.0,0.0,0.0
Nunziante,nunziante,Udinese,udinese,P,1,,0.35,13.3,0,backup,3.728,0.0,0.0,0.053,0.0,0.026,1.474,0.0,0.0,0.0,0.7,0.0,0.35,19.6,0.0,0.0,0.0,0.0,0.0
Lezzerini,lezzerini,Fiorentina,fiorentina,P,1,,0.35,13.3,0,backup,3.128,0.0,0.0,0.026,0.0,0.0,1.079,0.053,0.0,0.0,0.35,0.0,0.0,14.35,0.7,0.0,0.0,0.0,0.0
Silvestri,silvestri,Cremonese,cremonese,P,1,,0.35,13.3,0,backup,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.329,0.035,0.104,16.868,0.324,0.0,0.0,0.0,0.0
Dumfries,dumfries,Inter,inter,D,100,False,0.85,32.3,0,starter,6.19,0.241,0.069,0.138,0.0,0.0,,,7.797,2.228,4.455,0.0,0.0,,,0.0,0.0,0.0,6.46
Dimarco,dimarco,Inter,inter,D,96,False,0.85,32.3,0,starter,6.31,0.125,0.219,0.094,0.0,0.0,,,4.037,9.777,3.028,0.0,0.0,,,0.0,0.0,2.712,6.46
Gosens,gosens,Fiorentina,fiorentina,D,86,False,0.85,32.3,0,starter,6.12,0.156,0.094,0.188,0.0,0.0,,,5.047,3.028,6.056,0.0,0.0,,,0.0,0.0,0.0,3.23
Zortea,zortea,Bologna,bologna,D,41,True,0.65,24.7,0,battle,4.84,0.011,0.084,0.135,0.011,0.006,,,0.278,2.081,3.33,0.278,0.139,,,0.0,0.0,0.0,0.0
Bastoni,bastoni,Inter,inter,D,78,False,0.85,32.3,0,starter,6.42,0.031,0.125,0.125,0.031,0.0,,,1.009,4.037,4.037,1.009,0.0,,,0.0,0.0,0.0,6.46
Cambiaso,cambiaso,Juventus,juventus,D,63,False,0.85,32.3,0,starter,6.09,0.062,0.094,0.125,0.0,0.0,,,2.019,3.028,4.037,0.0,0.0,,,0.0,0.0,0.0,3.23
Angelino,angelino,Roma,roma,D,59,False,0.85,32.3,0,starter,6.14,0.053,0.026,0.026,0.0,0.0,,,1.7,0.85,0.85,0.0,0.0,,,0.0,0.0,0.0,3.23
Di Lorenzo,di lorenzo,Napoli,napoli,D,57,False,0.85,32.3,0,starter,6.15,0.081,0.054,0.162,0.0,0.0,,,2.619,1.746,5.238,0.0,0.0,,,0.0,0.0,0.0,3.23
Wesley,wesley,Roma,roma,D,51,False,0.85,32.3,0,starter,4.621,0.022,0.039,0.094,0.006,0.006,,,0.718,1.256,3.051,0.179,0.179,,,0.0,0.0,0.0,3.23
Bellanova,bellanova,Atalanta,atalanta,D,52,False,0.85,32.3,0,starter,6.04,0.0,0.257,0.086,0.0,0.0,,,0.0,8.306,2.769,0.0,0.0,,,0.0,0.0,0.0,3.23
Zappacosta,zappacosta,Atalanta,atalanta,D,46,True,0.65,24.7,0,battle,5.98,0.133,0.067,0.1,0.0,0.0,,,3.293,1.647,2.47,0.0,0.0,,,0.0,0.0,0.0,3.23
Bremer,bremer,Juventus,juventus,D,44,False,0.85,32.3,0,starter,6.5,0.026,0.018,0.142,0.004,0.0,,,0.853,0.569,4.601,0.142,0.0,,,0.0,0.0,0.0,3.23
Buongiorno,buongiorno,Napoli,napoli,D,44,False,0.85,32.3,0,starter,6.36,0.045,0.0,0.091,0.0,0.0,,,1.468,0.0,2.936,0.0,0.0,,,0.0,0.0,0.0,3.23
Tavares N.,tavares n,Lazio,lazio,D,49,False,0.85,32.3,0,starter,6.28,0.0,0.304,0.087,0.043,0.0,,,0.0,9.83,2.809,1.404,0.0,,,0.0,0.0,0.0,3.23
Hien,hien,Atalanta,atalanta,D,38,False,0.85,32.3,0,starter,5.95,0.0,0.0,0.345,0.0,0.0,,,0.0,0.0,11.138,0.0,0.0,,,0.0,0.0,0.0,3.23
Dodò,dodo,Fiorentina,fiorentina,D,42,False,0.85,32.3,0,starter,6.19,0.0,0.143,0.229,0.0,0.0,,,0.0,4.614,7.383,0.0,0.0,,,0.0,0.0,0.0,3.23
Estupinan,estupinan,Milan,milan,D,37,False,0.85,32.3,0,starter,5.285,0.045,0.028,0.169,0.022,0.017,,,1.452,4.741,5.444,0.726,0.544,,,0.0,0.0,3.834,3.23
Rrahmani,rrahmani,Napoli,napoli,D,32,True,0.65,24.7,0,battle,6.14,0.026,0.026,0.053,0.0,0.026,,,0.65,0.65,1.3,0.0,0.65,,,0.0,0.0,0.0,3.23
Mancini,mancini,Roma,roma,D,30,False,0.85,32.3,0,starter,6.18,0.054,0.027,0.216,0.0,0.0,,,1.746,0.873,6.984,0.0,0.0,,,0.0,0.0,0.0,3.23
Solet,solet,Udinese,udinese,D,40,False,0.85,32.3,0,starter,6.16,0.052,0.052,0.059,0.051,0.001,,,3.518,1.695,1.919,1.655,0.032,,,2.38,1.831,0.0,3.23
Martin,martin,Genoa,genoa,D,32,False,0.85,32.3,0,starter,6.17,0.0,0.222,0.139,0.0,0.0,,,0.0,7.178,4.486,0.0,0.0,,,0.0,0.0,0.0,3.23
Carlos Augusto,carlos augusto,Inter,inter,D,31,,0.35,13.3,0,backup,6.2,0.107,0.107,0.036,0.0,0.0,,,1.425,1.425,0.475,0.0,0.0,,,0.0,0.0,0.0,0.0
Beukema,beukema,Napoli,napoli,D,25,True,0.65,24.7,0,battle,4.831,0.034,0.034,0.114,0.0,0.006,,,0.842,0.842,2.807,0.0,0.14,,,0.0,0.0,0.0,0.0
Olivera,olivera,Napoli,napoli,D,21,True,0.65,24.7,0,battle,6.08,0.0,0.033,0.133,0.0,0.0,,,0.0,0.823,3.293,0.0,0.0,,,0.0,0.0,0.0,0.0
Valeri,valeri,Parma,parma,D,27,False,0.85,32.3,0,starter,5.94,0.059,0.147,0.029,0.0,0.0,,,1.9,8.537,0.95,0.0,0.0,,,0.0,0.0,3.787,3.23
N'Dicka,n dicka,Roma,roma,D,26,False,0.85,32.3,0,starter,6.05,0.0,0.0,0.053,0.0,0.0,,,0.0,0.0,1.7,0.0,0.0,,,0.0,0.0,0.0,0.0
Kossounou,kossounou,Atalanta,atalanta,D,22,True,0.65,20.7,1,battle,5.94,0.003,0.012,0.074,0.0,0.001,,,0.064,0.255,1.531,0.0,0.025,,,0.0,0.0,0.0,0.0
Miranda J.,miranda j,Bologna,bologna,D,24,False,0.85,32.3,0,starter,6.05,0.0,0.207,0.138,0.034,0.0,,,0.0,6.683,4.455,1.114,0.0,,,0.0,0.0,0.0,3.23
Vasquez,vasquez,Genoa,genoa,D,20,False,0.85,32.3,0,starter,6.06,0.083,0.0,0.25,0.0,0.0,,,2.692,0.0,8.075,0.0,0.0,,,0.0,0.0,0.0,3.23
Acerbi,acerbi,Inter,inter,D,26,True,0.65,24.7,0,battle,6.07,0.0,0.048,0.0,0.0,0.0,,,0.0,1.176,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Bisseck,bisseck,Inter,inter,D,21,True,0.65,24.7,0,battle,6.0,0.111,0.074,0.148,0.0,0.0,,,2.744,1.83,3.659,0.0,0.0,,,0.0,0.0,0.0,0.0
De Vrij,de vrij,Inter,inter,D,20,True,0.65,24.7,0,battle,6.18,0.136,0.0,0.091,0.0,0.0,,,3.368,0.0,2.245,0.0,0.0,,,0.0,0.0,0.0,0.0
Kalulu,kalulu,Juventus,juventus,D,24,True,0.65,24.7,0,battle,6.02,0.036,0.0,0.071,0.036,0.0,,,0.882,0.0,1.764,0.882,0.0,,,0.0,0.0,0.0,0.0
Gila,gila,Lazio,lazio,D,20,False,0.85,32.3,0,starter,6.05,0.031,0.0,0.25,0.0,0.031,,,1.009,0.0,8.075,0.0,1.009,,,0.0,0.0,0.0,3.23
Djimsiti,djimsiti,Atalanta,atalanta,D,15,True,0.65,24.7,0,battle,5.88,0.03,0.061,0.182,0.0,0.03,,,0.748,1.497,4.491,0.0,0.748,,,0.0,0.0,0.0,0.0
Scalvini,scalvini,Atalanta,atalanta,D,24,True,0.65,24.7,0,battle,5.5,0.016,0.066,0.228,0.0,0.007,,,0.405,1.62,5.628,0.0,0.162,,,0.0,0.0,0.0,0.0
Lucumì,lucumi,Bologna,bologna,D,21,False,0.85,32.3,0,starter,5.83,0.0,0.031,0.25,0.031,0.0,,,0.0,1.009,8.075,1.009,0.0,,,0.0,0.0,0.0,3.23
Vitik,vitik,Bologna,bologna,D,18,False,0.85,32.3,0,starter,4.84,0.011,0.084,0.135,0.011,0.006,,,0.363,2.722,4.355,0.363,0.181,,,0.0,0.0,0.0,3.23
