player,team,role,Pts_hat,VORP,Price_final,FVM,Pv_hat,Mv_hat,G_hat,A_hat,YC_hat,RC_hat,OG_hat,AFCON_RISK,START_TIER,Mod_share_hat
Thuram,Inter,A,250.386,72.854,285.682,310,32.3,6.33,14.131,4.037,1.009,0.0,0.0,0,starter,0.0
Kean,Fiorentina,A,274.876,97.344,283.577,375,32.3,6.42,22.84,2.019,6.056,0.0,0.0,0,starter,0.0
Martinez L.,Inter,A,99.961,0.0,211.376,380,13.3,6.19,5.148,2.404,0.429,0.0,0.0,0,backup,0.0
Leao,Milan,A,227.962,50.431,178.597,242,32.3,6.19,7.6,7.6,4.75,0.0,0.0,0,starter,0.0
Lookman,Atalanta,A,73.806,0.0,173.082,100,9.3,6.42,4.5,1.2,1.2,0.0,0.0,1,backup,0.0
De Ketelaere,Atalanta,A,224.162,46.631,168.887,166,32.3,6.19,6.65,4.75,0.95,0.0,0.0,0,starter,0.0
David,Juventus,A,179.584,2.053,138.231,278,32.3,4.424,11.607,3.716,2.573,0.286,0.0,0,starter,0.0
Yildiz,Juventus,A,225.682,48.151,135.46,237,32.3,6.34,6.65,3.8,1.9,0.95,0.0,0,starter,0.0
Dybala,Roma,A,187.156,9.625,135.351,244,24.7,6.48,8.21,3.705,2.47,0.0,0.0,0,battle,0.0
Soulè,Roma,A,227.532,50.001,134.086,126,32.3,6.24,7.022,7.022,4.213,0.0,0.0,0,starter,0.0
Vlahovic,Juventus,A,99.123,0.0,133.453,99,13.3,6.12,5.643,1.596,1.596,0.0,0.0,0,backup,0.0
Gimenez,Milan,A,90.048,0.0,130.559,216,13.3,5.88,4.472,1.261,2.821,0.711,0.0,0,backup,0.0
Castellanos,Lazio,A,185.39,7.859,95.469,161,24.7,6.29,9.217,7.06,5.962,0.852,0.0,0,battle,0.0
Lukaku,Napoli,A,194.232,16.701,81.217,200,24.7,6.29,11.356,6.175,2.744,0.0,0.0,0,battle,0.0
Dia,Lazio,A,143.03,0.0,79.634,112,20.7,6.01,5.616,2.366,1.183,0.0,0.0,1,battle,0.0
Dzeko,Fiorentina,A,184.573,7.042,79.306,63,32.3,4.63,11.675,2.724,5.448,0.0,0.0,0,starter,0.0
Dovbyk,Roma,A,177.531,0.0,77.375,152,24.7,6.0,9.262,1.544,0.0,0.0,0.0,0,battle,0.0
Castro S.,Bologna,A,168.866,0.0,75.12,122,24.7,6.17,5.988,2.994,5.988,0.0,0.748,0,battle,0.0
Pellegrino M.,Parma,A,216.26,38.729,73.884,72,32.3,6.14,6.575,0.952,5.133,0.087,0.0,0,starter,0.0
Berardi,Sassuolo,A,185.024,7.493,72.189,144,32.3,5.068,6.917,2.532,3.309,0.134,0.013,0,starter,0.0
Krstovic,Atalanta,A,142.28,0.0,67.253,148,24.7,4.185,11.971,3.837,1.679,0.0,0.0,0,battle,0.0
Lang,Napoli,A,132.589,0.0,66.133,82,24.7,4.53,6.175,3.202,2.058,0.0,0.0,0,battle,0.0
Scamacca,Atalanta,A,20.386,0.0,65.013,106,13.3,0.0,6.257,2.066,0.904,0.0,0.0,0,backup,0.0
Davis K.,Udinese,A,208.055,30.524,64.369,40,32.3,6.0,4.783,1.988,4.162,0.0,0.0,0,starter,0.0
Zapata D.,Torino,A,180.206,2.675,60.62,91,24.7,6.57,6.096,1.025,2.772,0.0,0.0,0,battle,0.0
Esposito Se.,Cagliari,A,205.634,28.103,54.693,70,32.3,5.94,5.14,0.989,5.273,0.0,0.0,0,starter,0.0
Piccoli,Cagliari,A,91.561,0.0,49.996,86,13.3,6.0,4.16,0.359,2.157,0.0,0.0,0,backup,0.0
Morata,Como,A,59.086,0.0,45.035,84,13.3,3.732,2.871,1.247,0.831,0.0,0.0,0,backup,0.0
Pinamonti,Sassuolo,A,185.024,7.493,44.92,73,32.3,5.068,6.917,2.532,3.309,0.134,0.013,0,starter,0.0
Ferguson E.,Roma,A,157.95,0.0,43.936,124,24.7,4.964,9.82,6.659,1.56,0.0,0.0,0,battle,0.0
Immobile,Bologna,A,147.817,0.0,42.838,140,24.7,5.117,6.737,2.654,2.041,0.0,0.204,0,battle,0.0
Pedro,Lazio,A,179.41,1.879,40.491,45,24.7,6.21,8.821,0.882,2.646,0.0,0.0,0,battle,0.0
Diao,Como,A,123.317,0.0,37.915,95,28.3,3.732,5.306,2.653,1.769,0.0,0.0,1,starter,0.0
Beltran L.,Fiorentina,A,86.627,0.0,36.281,10,13.3,5.98,2.217,1.773,2.66,0.0,0.0,0,backup,0.0
Kuhn,Como,A,107.63,0.0,35.193,39,24.7,3.732,4.631,2.316,1.544,0.0,0.0,0,battle,0.0
Laurientè,Sassuolo,A,185.024,7.493,31.828,50,32.3,5.068,6.917,2.532,3.309,0.134,0.013,0,starter,0.0
Lucca,Napoli,A,133.339,0.0,25.482,126,24.7,4.53,6.425,3.202,2.058,0.0,0.0,0,battle,0.0
Camarda,Lecce,A,179.242,1.711,22.922,30,32.3,4.983,6.487,2.037,4.074,0.582,0.0,0,starter,0.0
Adams C.,Torino,A,173.523,0.0,22.814,68,24.7,6.0,6.351,7.327,2.117,0.0,0.0,0,battle,0.0
Luvumbo,Cagliari,A,176.853,0.0,21.75,20,28.3,5.98,2.177,2.177,2.177,0.0,0.0,1,starter,0.0
Noslin,Lazio,A,84.925,0.0,16.473,9,13.3,6.0,1.487,1.379,1.415,0.004,0.0,0,backup,0.0
Sanabria,Cremonese,A,185.024,7.493,16.364,33,32.3,5.068,6.917,2.532,3.309,0.134,0.013,0,starter,0.0
Colombo,Genoa,A,159.347,0.0,15.426,43,24.7,5.953,3.84,2.08,2.6,0.0,0.0,0,battle,0.0
Gonzalez N.,Juventus,A,84.761,0.0,14.904,28,13.3,5.96,1.735,1.157,1.735,0.0,0.0,0,backup,0.0
De Luca,Cremonese,A,141.489,0.0,14.383,22,24.7,5.068,5.289,1.936,2.53,0.102,0.01,0,battle,0.0
Vitinha O.,Genoa,A,154.465,0.0,13.862,31,24.7,5.89,2.245,3.368,2.245,0.0,0.0,0,battle,0.0
Okereke,Cremonese,A,76.187,0.0,13.343,7,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Nzola,Pisa,A,53.273,0.0,12.825,28,9.3,5.068,1.991,0.729,0.953,0.038,0.004,1,backup,0.0
Sulemana K.,Atalanta,A,75.481,0.0,11.791,21,13.3,4.185,6.069,2.066,0.904,0.0,0.0,0,backup,0.0
Simeone,Torino,A,177.363,0.0,11.791,29,32.3,5.028,4.811,2.062,3.093,0.0,0.0,0,starter,0.0
Douvikas,Como,A,90.402,0.0,10.761,20,13.3,6.21,2.381,1.164,0.997,0.0,0.0,0,backup,0.0
Frigan,Parma,A,68.976,0.0,10.761,9,13.3,4.841,1.583,0.871,1.742,0.079,0.0,0,backup,0.0
Cutrone,Como,A,89.94,0.0,10.248,13,13.3,6.02,2.821,1.612,0.403,0.0,0.0,0,backup,0.0
Djuric,Parma,A,87.896,0.0,9.737,18,13.3,6.0,2.891,0.578,2.313,0.0,0.0,0,backup,0.0
Aboukhlal,Torino,A,51.067,0.0,9.737,15,9.3,5.028,1.385,0.594,0.89,0.0,0.0,1,backup,0.0
Dominguez B.,Bologna,A,168.701,0.0,8.717,24,24.7,6.28,3.705,2.47,0.0,0.0,0.0,0,battle,0.0
Tourè E.,Atalanta,A,16.627,0.0,8.717,9,9.3,0.0,5.166,1.445,0.632,0.0,0.0,1,backup,0.0
Mosquera,Verona,A,155.715,0.0,8.209,14,24.7,5.88,3.742,0.748,2.994,0.0,0.0,0,battle,0.0
Borrelli,Cagliari,A,84.431,0.0,7.703,10,13.3,5.94,2.036,0.407,2.171,0.0,0.0,0,backup,0.0
N'Dri,Lecce,A,81.365,0.0,7.703,8,13.3,5.86,1.246,0.545,1.09,0.156,0.0,0,backup,0.0
Ngonge,Torino,A,136.23,0.0,7.198,20,24.7,5.028,3.879,1.577,2.365,0.0,0.0,0,battle,0.0
Bravo,Udinese,A,157.849,0.0,6.695,22,24.7,6.0,3.858,0.285,4.417,0.0,0.0,0,battle,0.0
Okafor,Milan,A,88.514,0.0,6.695,5,13.3,5.991,2.866,1.491,2.064,0.115,0.0,0,backup,0.0
Cambiaghi,Bologna,A,161.428,0.0,6.194,26,24.7,6.15,1.878,4.103,0.306,0.0,0.031,0,battle,0.0
Dallinga,Bologna,A,85.34,0.0,6.194,13,13.3,5.96,1.735,1.157,0.578,0.0,0.0,0,backup,0.0
Ekuban,Genoa,A,58.798,0.0,6.194,5,9.3,6.0,0.602,1.473,0.563,0.0,0.0,1,backup,0.0
Milik,Juventus,A,11.711,0.0,6.194,5,13.3,0.0,3.649,1.53,1.059,0.118,0.0,0,backup,0.0
Addai,Como,A,107.63,0.0,5.695,18,24.7,3.732,4.631,2.316,1.544,0.0,0.0,0,battle,0.0
Bonny,Inter,A,95.607,0.0,5.695,27,13.3,6.152,4.232,1.572,0.967,0.0,0.0,0,backup,0.0
Lind,Pisa,A,76.187,0.0,5.695,8,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Pizarro,Udinese,A,9.4,0.0,5.695,3,13.3,0.0,3.197,0.767,1.918,0.0,0.0,0,backup,0.0
Johnsen,Cremonese,A,76.187,0.0,4.702,12,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Kilicsoy,Cagliari,A,156.8,0.0,4.702,17,24.7,5.94,3.781,0.756,4.033,0.0,0.0,0,battle,0.0
Pierini,Sassuolo,A,76.187,0.0,4.702,9,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Cancellieri,Lazio,A,168.407,0.0,4.702,9,24.7,6.112,5.841,1.836,3.171,0.167,0.0,0,battle,0.0
Sarr A.,Verona,A,177.404,0.0,4.21,24,28.3,5.86,4.018,0.0,0.976,0.0,0.0,1,starter,0.0
Esposito F.P.,Inter,A,95.996,0.0,4.21,18,13.3,6.152,3.99,2.688,0.967,0.0,0.0,0,backup,0.0
Sanchez,Udinese,A,82.709,0.0,4.21,10,13.3,5.83,1.758,0.422,1.055,0.0,0.0,0,backup,0.0
Moreo,Pisa,A,76.187,0.0,4.21,16,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Karlsson,Bologna,A,75.636,0.0,4.21,7,13.3,5.117,2.308,1.429,1.099,0.0,0.11,0,backup,0.0
Banda,Lecce,A,122.828,0.0,3.72,12,20.7,5.77,1.044,1.492,1.949,0.131,0.0,1,battle,0.0
Almqvist,Parma,A,144.438,0.0,3.72,14,24.7,5.79,0.95,0.95,4.75,0.0,0.0,0,battle,0.0
Brenner,Udinese,A,88.641,0.0,3.72,10,13.3,5.92,2.903,1.867,1.343,0.0,0.0,0,backup,0.0
Rodriguez Je.,Como,A,57.955,0.0,3.234,16,13.3,3.732,2.494,1.247,0.831,0.0,0.0,0,backup,0.0
Bayo V.,Udinese,A,69.532,0.0,3.234,12,13.3,4.521,3.197,0.767,1.918,0.0,0.0,0,backup,0.0
Mulattieri,Sassuolo,A,76.187,0.0,2.271,10,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Taremi,Inter,A,83.699,0.0,2.271,5,13.3,5.97,1.064,1.487,0.762,0.0,0.0,0,backup,0.0
Rocha Livramento,Verona,A,77.745,0.0,2.271,8,13.3,5.8,0.605,0.605,1.209,0.605,0.0,0,backup,0.0
Pavoletti,Cagliari,A,83.905,0.0,2.271,3,13.3,5.95,2.246,0.183,4.302,0.0,0.0,0,backup,0.0
Ekhator,Genoa,A,81.974,0.0,2.271,3,13.3,5.87,1.155,0.945,1.015,0.0,0.0,0,backup,0.0
Meister,Pisa,A,76.187,0.0,1.797,13,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Alvarez A.,Sassuolo,A,76.187,0.0,1.328,4,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Bonazzoli,Cremonese,A,76.187,0.0,1.328,1,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Njie,Torino,A,82.853,0.0,1.328,1,13.3,6.0,1.089,0.467,1.365,0.0,0.0,0,backup,0.0
Buffon L.,Pisa,A,76.187,0.0,0.868,1,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Azon,Como,A,8.312,0.0,0.419,5,13.3,0.0,2.494,1.247,0.831,0.0,0.0,0,backup,0.0
Gabrielloni,Como,A,95.427,0.0,0.419,1,13.3,6.5,2.66,1.662,1.33,0.0,0.0,0,backup,0.0
Benedyczak,Parma,A,146.018,0.0,0.419,13,24.7,5.67,2.058,1.132,2.264,0.103,0.0,0,battle,0.0
Bonfanti N.,Pisa,A,76.187,0.0,0.419,2,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Moro L.,Sassuolo,A,76.187,0.0,0.419,1,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Skjellerup,Sassuolo,A,76.187,0.0,0.419,1,13.3,5.068,2.848,1.043,1.363,0.055,0.005,0,backup,0.0
Giovane,Verona,A,115.07,0.0,,12,24.7,4.231,3.817,0.674,2.245,0.225,0.0,0,battle,0.0
Orsolini,Bologna,C,267.127,81.079,211.356,220,32.3,6.53,17.622,4.455,2.228,0.0,0.0,0,starter,0.0
Pulisic,Milan,C,247.687,61.639,181.437,216,32.3,6.38,11.496,7.6,0.95,0.0,0.0,0,starter,0.0
McTominay,Napoli,C,247.513,61.465,174.112,201,32.3,6.56,11.4,2.85,2.85,0.0,0.0,0,starter,0.0
Ilkhan,Torino,C,153.134,0.0,170.361,1,24.7,5.981,2.245,0.842,3.789,0.14,0.0,0,battle,0.0
Zaccagni,Lazio,C,242.096,56.048,168.237,205,32.3,6.28,10.804,11.59,9.5,0.0,0.0,0,starter,0.0
Calhanoglu,Inter,C,238.481,52.433,137.799,151,32.3,6.34,9.887,6.921,5.768,0.0,0.0,0,starter,0.0
Paz N.,Como,C,227.607,41.559,109.949,124,32.3,6.38,5.873,6.852,5.873,0.0,0.0,0,starter,0.0
Gudmundsson A.,Fiorentina,C,202.685,16.637,99.458,177,32.3,5.932,3.968,2.597,5.519,0.325,0.0,0,starter,0.0
Thuram K.,Juventus,C,217.682,31.634,68.345,63,32.3,6.3,3.915,4.894,4.894,0.0,0.0,0,starter,0.0
Conceicao,Juventus,C,208.658,22.61,67.242,88,32.3,6.12,3.876,3.876,3.876,1.292,0.0,0,starter,0.0
Barella,Inter,C,217.634,31.586,66.027,58,32.3,6.26,2.936,8.584,3.915,0.0,0.0,0,starter,0.0
De Bruyne,Napoli,C,171.841,0.0,62.847,147,32.3,4.819,4.844,3.143,2.968,0.0,0.0,0,starter,0.0
Ederson D.S.,Atalanta,C,208.712,22.664,53.873,58,32.3,6.17,3.589,1.794,2.692,0.897,0.0,0,starter,0.0
Bernabè,Parma,C,213.014,26.966,49.908,36,32.3,6.29,1.768,5.474,1.833,0.008,0.0,0,starter,0.0
De Roon,Atalanta,C,210.758,24.709,45.538,33,32.3,6.15,3.589,3.589,4.486,0.0,0.0,0,starter,0.0
Konè M.,Roma,C,206.113,20.065,42.392,40,32.3,6.26,1.958,0.979,5.873,0.0,0.0,0,starter,0.0
Ferguson,Bologna,C,208.632,22.584,38.288,23,32.3,6.11,3.248,2.3,1.106,0.105,0.0,0,starter,0.0
Zambo Anguissa,Napoli,C,197.17,11.122,36.596,54,28.3,6.41,4.851,3.234,4.043,0.0,0.0,1,starter,0.0
Casadei,Torino,C,202.188,16.14,32.783,30,32.3,6.03,2.349,1.89,2.854,0.046,0.0,0,starter,0.0
Odgaard,Bologna,C,136.254,0.0,32.307,78,24.7,5.019,4.161,1.745,2.819,0.268,0.0,0,battle,0.0
Sohm,Fiorentina,C,199.546,13.498,31.029,34,32.3,5.932,2.922,2.597,5.519,0.325,0.0,0,starter,0.0
Bailey,Roma,C,158.304,0.0,28.837,70,24.7,6.088,2.906,1.695,4.964,0.0,0.0,0,battle,0.0
Freuler,Bologna,C,200.81,14.762,27.931,23,32.3,6.19,0.873,0.873,5.238,0.0,0.0,0,starter,0.0
Anjorin,Torino,C,200.252,14.204,27.198,23,32.3,5.981,2.936,1.101,4.955,0.184,0.0,0,starter,0.0
Jashari,Milan,C,193.007,6.959,24.6,39,32.3,5.459,3.906,7.289,3.455,0.3,0.0,0,starter,0.0
Politano,Napoli,C,158.594,0.0,22.386,55,24.7,6.11,2.003,2.67,2.003,0.0,0.0,0,battle,0.0
Modric,Milan,C,190.743,4.695,22.079,40,32.3,5.459,4.429,3.455,3.455,0.3,0.0,0,starter,0.0
Masini,Genoa,C,199.506,13.458,21.932,10,32.3,6.06,1.834,0.146,3.613,0.0,0.036,0,starter,0.0
Guendouzi,Lazio,C,195.965,9.917,21.603,23,32.3,6.04,0.873,1.746,6.984,0.0,0.0,0,starter,0.0
Lobotka,Napoli,C,194.894,8.846,20.215,23,32.3,6.05,0.0,1.042,3.126,0.0,0.0,0,starter,0.0
Frendrup,Genoa,C,195.184,9.136,19.74,21,32.3,6.0,1.846,0.0,4.614,0.0,0.923,0,starter,0.0
Frattesi,Inter,C,165.34,0.0,18.98,47,24.7,6.02,5.37,1.074,1.074,0.0,0.0,0,battle,0.0
Vlasic,Torino,C,165.949,0.0,18.556,46,24.7,6.07,4.517,2.47,0.0,0.0,0.0,0,battle,0.0
Rovella,Lazio,C,193.927,7.879,18.542,22,32.3,6.11,0.0,2.936,12.724,0.0,0.0,0,starter,0.0
Isaksen,Lazio,C,120.135,0.0,18.133,45,24.7,4.68,2.003,2.27,5.875,0.401,0.0,0,battle,0.0
Tramoni M.,Pisa,C,178.482,0.0,16.866,42,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Neres,Napoli,C,89.376,0.0,16.445,41,13.3,6.32,1.064,2.66,1.064,0.0,0.0,0,backup,0.0
Gronbaek,Genoa,C,186.44,0.392,15.265,37,32.3,5.593,2.321,1.46,3.832,0.0,0.365,0,starter,0.0
Koopmeiners,Juventus,C,157.851,0.0,14.764,37,24.7,5.98,2.646,3.529,2.646,0.0,0.0,0,battle,0.0
Vandeputte,Cremonese,C,136.486,0.0,14.346,36,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Samardzic,Atalanta,C,154.393,0.0,13.927,35,24.7,6.09,1.764,0.0,2.646,0.0,0.0,0,battle,0.0
Saelemaekers,Milan,C,144.662,0.0,13.927,35,24.7,5.459,2.987,2.642,2.642,0.23,0.0,0,battle,0.0
Fofana Y.,Milan,C,82.742,0.0,13.51,34,13.3,6.03,0.391,2.347,1.956,0.0,0.0,0,backup,0.0
Da Cunha,Como,C,157.021,0.0,13.093,33,24.7,6.1,2.117,1.411,2.823,0.0,0.0,0,battle,0.0
Dele-Bashiru,Lazio,C,136.363,0.0,13.093,33,20.7,6.06,3.357,1.32,0.738,0.05,0.0,1,battle,0.0
Mkhitaryan,Inter,C,154.313,0.0,13.093,33,24.7,6.06,0.772,3.859,3.088,0.0,0.0,0,battle,0.0
Serdar,Verona,C,193.169,7.121,12.952,12,32.3,5.79,3.076,1.538,3.076,1.538,0.0,0,starter,0.0
Locatelli,Juventus,C,155.557,0.0,12.677,32,24.7,6.19,1.711,0.706,6.351,0.0,0.0,0,battle,0.0
Vazquez,Cremonese,C,136.486,0.0,11.846,30,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Carboni V.,Genoa,C,186.048,0.0,11.432,29,32.3,5.593,2.19,1.46,3.832,0.0,0.365,0,starter,0.0
Pasalic,Atalanta,C,153.836,0.0,11.018,28,24.7,5.91,2.245,1.497,0.748,0.0,0.0,0,battle,0.0
Baturina,Como,C,137.712,0.0,11.018,28,24.7,5.216,2.96,2.45,3.674,0.306,0.0,0,battle,0.0
Fazzini,Fiorentina,C,82.166,0.0,10.605,27,13.3,5.932,1.203,1.069,2.272,0.134,0.0,0,backup,0.0
Folorunsho,Cagliari,C,175.418,0.0,10.605,27,32.3,5.257,1.794,2.447,3.099,0.326,0.0,0,starter,0.0
Karlstrom,Udinese,C,186.773,0.725,10.277,14,32.3,5.85,0.0,1.746,7.857,0.0,0.0,0,starter,0.0
El Aynaoui,Roma,C,182.752,0.0,10.193,26,28.3,6.088,3.788,1.942,5.688,0.0,0.0,1,starter,0.0
Mandragora,Fiorentina,C,164.328,0.0,9.782,25,24.7,6.19,3.659,3.659,6.404,0.0,0.0,0,battle,0.0
Ricci S.,Milan,C,144.662,0.0,9.782,25,24.7,5.459,2.987,2.642,2.642,0.23,0.0,0,battle,0.0
Malinovskyi,Genoa,C,161.95,0.0,9.782,25,24.7,6.33,1.621,3.084,4.082,0.0,0.154,0,battle,0.0
Stanciu,Genoa,C,142.272,0.0,9.782,25,24.7,5.593,1.675,1.116,2.931,0.0,0.279,0,battle,0.0
Maldini,Atalanta,C,162.874,0.0,9.372,24,24.7,6.02,5.489,0.0,4.574,0.0,0.0,0,battle,0.0
Bernardeschi,Bologna,C,137.304,0.0,9.372,24,24.7,5.019,4.511,1.745,2.819,0.268,0.0,0,battle,0.0
Sucic P.,Inter,C,162.31,0.0,9.372,24,24.7,6.085,2.697,5.338,2.839,0.0,0.0,0,battle,0.0
Lovric,Udinese,C,151.093,0.0,9.372,24,24.7,5.96,1.411,1.411,3.529,0.0,0.0,0,battle,0.0
Fagioli,Fiorentina,C,149.312,0.0,9.372,24,24.7,5.92,1.029,2.058,4.117,0.0,0.0,0,battle,0.0
Helgason,Lecce,C,155.015,0.0,9.372,24,24.7,6.03,0.125,5.94,0.481,0.0,0.0,0,battle,0.0
Thorstvedt,Sassuolo,C,178.482,0.0,9.372,24,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
