player,team,role,Pts_hat,VORP,Price_final,FVM,Pv_hat,Mv_hat,G_hat,A_hat,YC_hat,RC_hat,OG_hat,AFCON_RISK,START_TIER,Mod_share_hat
Bondo,Cremonese,C,136.486,0.0,9.372,18,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Adopo,Cagliari,C,190.076,4.028,9.065,14,32.3,5.87,0.95,0.95,2.85,0.95,0.0,0,starter,0.0
Sottil,Lecce,C,123.296,0.0,8.962,23,24.7,4.882,0.831,1.808,3.206,0.0,0.0,0,battle,0.0
Cristante,Roma,C,87.685,0.0,8.962,23,13.3,6.2,1.9,1.425,3.8,0.0,0.0,0,backup,0.0
Brescianini,Atalanta,C,89.336,0.0,8.962,23,13.3,6.13,2.313,1.157,0.578,0.0,0.0,0,backup,0.0
Collocolo,Cremonese,C,136.486,0.0,8.962,23,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Ekkelenkamp,Udinese,C,156.144,0.0,8.553,22,24.7,5.97,2.645,1.497,1.497,0.0,0.0,0,battle,0.0
Pobega,Bologna,C,81.795,0.0,8.553,22,13.3,6.05,1.33,1.33,2.66,1.33,0.0,0,backup,0.0
Zalewski,Atalanta,C,126.629,0.0,8.553,22,24.7,4.738,3.267,1.307,2.483,0.131,0.0,0,battle,0.0
Caqueret,Como,C,167.019,0.0,8.146,21,24.7,6.34,3.062,4.195,5.675,0.061,0.0,0,battle,0.0
Pellegrini Lo.,Roma,C,80.11,0.0,7.739,20,13.3,5.68,1.064,2.438,2.128,0.0,0.0,0,backup,0.0
Pierotti,Lecce,C,160.112,0.0,7.739,20,32.3,4.882,1.087,1.242,4.193,0.0,0.0,0,starter,0.0
Prati,Cagliari,C,190.962,4.914,7.717,11,32.3,5.85,0.897,1.223,3.165,0.163,0.0,0,starter,0.0
Tete Morente,Lecce,C,152.845,0.0,7.333,19,24.7,5.87,2.47,2.505,4.117,0.0,0.0,0,battle,0.0
Perrone,Como,C,146.718,0.0,7.333,19,24.7,5.94,0.0,2.964,5.928,0.0,0.0,0,battle,0.0
El Shaarawy,Roma,C,89.294,0.0,7.333,19,13.3,6.19,1.9,1.9,1.267,0.0,0.0,0,backup,0.0
McKennie,Juventus,C,82.22,0.0,6.928,18,13.3,5.94,0.858,1.287,1.287,0.0,0.0,0,backup,0.0
Messias,Genoa,C,82.571,0.0,6.928,18,13.3,6.0,0.845,0.785,0.981,0.0,0.03,0,backup,0.0
Hernani,Parma,C,86.945,0.0,6.928,18,13.3,6.08,1.596,3.155,3.724,0.0,0.0,0,backup,0.0
Rafia,Lecce,C,75.643,0.0,6.928,7,13.3,5.78,0.045,0.051,2.833,0.0,0.0,0,backup,0.0
Fabbian,Bologna,C,85.833,0.0,6.525,17,13.3,6.09,1.814,0.0,1.209,0.0,0.0,0,backup,0.0
Loftus-Cheek,Milan,C,143.872,0.0,6.122,16,24.7,5.86,0.299,0.264,3.969,0.023,0.0,0,battle,0.0
Baldanzi,Roma,C,81.7,0.0,6.122,16,13.3,6.0,0.633,0.633,1.267,0.0,0.0,0,backup,0.0
Tourè I.,Pisa,C,156.379,0.0,6.122,16,28.3,5.286,2.442,1.902,4.038,0.19,0.024,1,starter,0.0
Ondrejka,Parma,C,96.109,0.0,5.721,15,13.3,6.35,3.957,0.299,0.898,0.033,0.0,0,backup,0.0
Pisilli,Roma,C,81.474,0.0,5.721,15,13.3,5.98,1.108,0.554,3.879,0.0,0.0,0,backup,0.0
Suslov,Verona,C,77.301,0.0,5.321,14,13.3,5.84,0.377,0.429,2.145,0.429,0.0,0,backup,0.0
Luis Henrique,Inter,C,86.281,0.0,5.321,14,13.3,6.085,1.452,1.758,1.529,0.0,0.0,0,backup,0.0
Coulibaly L.,Lecce,C,169.815,0.0,5.321,14,28.3,5.96,0.765,0.0,2.295,0.0,0.0,1,starter,0.0
Harroui,Verona,C,153.973,0.0,5.321,14,24.7,5.95,2.027,3.21,3.38,0.296,0.0,0,battle,0.0
Vecino,Lazio,C,158.904,0.0,5.321,14,24.7,6.14,2.67,3.932,9.232,0.04,0.0,0,battle,0.0
Boloca,Sassuolo,C,178.482,0.0,5.321,13,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Fadera,Sassuolo,C,73.493,0.0,5.321,13,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Piotrowski,Udinese,C,147.438,0.0,5.321,12,24.7,5.886,0.925,1.057,3.566,0.0,0.0,0,battle,0.0
Sorensen O.,Parma,C,140.672,0.0,5.321,14,24.7,5.443,2.346,1.112,3.335,0.124,0.0,0,battle,0.0
Sulemana I.,Atalanta,C,139.046,0.0,5.321,10,20.7,6.17,3.987,0.767,2.492,0.077,0.0,1,battle,0.0
Felici,Cagliari,C,79.433,0.0,4.923,13,13.3,5.83,0.074,2.096,0.793,0.013,0.0,0,backup,0.0
Marin M.,Pisa,C,136.486,0.0,4.923,8,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Konè I.,Sassuolo,C,178.482,0.0,4.923,14,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Cataldi,Lazio,C,64.688,0.0,4.923,7,13.3,4.68,1.078,1.222,3.163,0.216,0.0,0,backup,0.0
Ordonez C.,Parma,C,143.568,0.0,4.923,13,24.7,5.443,2.346,4.007,3.335,0.124,0.0,0,battle,0.0
Vural,Pisa,C,73.493,0.0,4.923,1,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Gaetano,Cagliari,C,158.336,0.0,4.526,12,24.7,6.04,1.83,3.659,0.0,0.0,0.0,0,battle,0.0
Gilmour,Napoli,C,81.344,0.0,4.526,12,13.3,6.0,0.259,0.859,0.183,0.0,0.0,0,backup,0.0
Ilic,Torino,C,149.194,0.0,4.526,12,24.7,5.91,1.684,1.069,5.698,0.028,0.0,0,battle,0.0
Pierret,Lecce,C,141.202,0.0,4.526,12,24.7,5.75,0.0,0.0,1.647,0.0,0.0,0,battle,0.0
Atta,Udinese,C,166.724,0.0,4.526,24,28.3,6.0,0.0,0.0,6.152,0.0,0.0,1,starter,0.0
Ellertsson,Genoa,C,76.608,0.0,4.526,13,13.3,5.593,0.902,0.601,1.578,0.0,0.15,0,backup,0.0
Gineitis,Torino,C,82.697,0.0,4.526,11,13.3,5.95,1.425,0.475,2.375,0.0,0.0,0,backup,0.0
Asllani,Inter,C,88.437,0.0,4.526,9,13.3,6.16,1.62,2.798,2.301,0.0,0.0,0,backup,0.0
Akinsanmiro,Pisa,C,73.493,0.0,4.526,13,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Ramadani,Lecce,C,147.64,0.0,4.131,11,24.7,5.85,0.915,1.773,2.744,0.0,0.0,0,battle,0.0
Volpato,Sassuolo,C,73.493,0.0,4.131,13,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Tameze,Torino,C,78.2,0.0,4.131,11,13.3,5.9,0.302,0.113,2.505,0.019,0.0,0,backup,0.0
Belahyane,Lazio,C,52.23,0.0,4.131,5,9.3,5.77,0.0,0.715,1.431,0.715,0.0,1,backup,0.0
Chukwueze,Milan,C,62.492,0.0,4.131,11,9.3,6.09,1.62,1.129,0.199,0.017,0.0,1,backup,0.0
Moro N.,Bologna,C,81.455,0.0,4.131,7,13.3,6.0,0.448,0.853,0.969,0.029,0.0,0,backup,0.0
Keita M.,Parma,C,159.127,0.0,3.738,10,28.3,5.73,0.0,1.011,4.043,1.011,0.0,1,starter,0.0
Deiola,Cagliari,C,81.662,0.0,3.738,11,13.3,5.98,1.064,0.532,3.192,0.0,0.0,0,backup,0.0
Mazzitelli,Cagliari,C,72.231,0.0,3.738,11,13.3,5.257,0.739,1.008,1.276,0.134,0.0,0,backup,0.0
Lipani,Sassuolo,C,73.493,0.0,3.738,7,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Payero,Udinese,C,79.268,0.0,3.738,10,13.3,5.9,0.532,0.532,2.66,0.0,0.0,0,backup,0.0
Bernede,Verona,C,146.163,0.0,3.738,10,24.7,5.79,1.708,0.592,4.186,0.237,0.0,0,battle,0.0
Castagnetti,Cremonese,C,73.493,0.0,3.738,5,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Niasse,Verona,C,112.421,0.0,3.738,12,20.7,5.5,0.446,0.558,5.758,0.223,0.0,1,battle,0.0
Valoti,Cremonese,C,73.493,0.0,3.346,9,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Musah,Milan,C,75.421,0.0,3.346,9,13.3,5.69,0.0,1.023,2.558,0.0,0.0,0,backup,0.0
Piccinini G.,Pisa,C,136.486,0.0,3.346,9,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Thorsby,Genoa,C,75.15,0.0,3.346,12,13.3,5.78,0.0,0.493,2.463,0.0,0.493,0,backup,0.0
Sergi Roberto,Como,C,74.153,0.0,3.346,8,13.3,5.216,1.594,1.319,1.979,0.165,0.0,0,backup,0.0
Richardson,Fiorentina,C,77.672,0.0,3.346,8,13.3,5.78,0.532,0.532,2.66,0.0,0.0,0,backup,0.0
Tourè I.,Pisa,C,156.379,0.0,2.957,16,28.3,5.286,2.442,1.902,4.038,0.19,0.024,1,starter,0.0
Aebischer,Pisa,C,178.482,0.0,2.957,14,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Grassi,Cremonese,C,178.482,0.0,2.957,9,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Miretti,Juventus,C,69.659,0.0,2.57,9,13.3,4.965,1.221,1.092,1.992,0.064,0.0,0,backup,0.0
Zielinski,Inter,C,85.643,0.0,2.57,12,13.3,5.98,1.815,0.665,0.0,0.0,0.0,0,backup,0.0
Ghion,Sassuolo,C,73.493,0.0,2.57,11,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Kastanos,Verona,C,78.942,0.0,2.57,10,13.3,5.89,0.605,0.0,2.418,0.0,0.0,0,backup,0.0
Douglas Luiz,Juventus,C,78.314,0.0,2.57,6,13.3,5.87,0.305,0.273,1.828,0.016,0.0,0,backup,0.0
Berisha M.,Lecce,C,148.629,0.0,2.57,7,24.7,6.07,0.249,1.52,7.137,0.0,0.0,0,battle,0.0
Arena,Pisa,C,73.493,0.0,2.57,1,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Maleh,Lecce,C,65.928,0.0,2.186,6,13.3,4.882,0.448,0.512,1.726,0.0,0.0,0,backup,0.0
Venturino,Genoa,C,96.713,0.0,2.186,10,13.3,6.83,2.096,0.511,1.341,0.0,0.128,0,backup,0.0
Leris,Pisa,C,73.493,0.0,2.186,3,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Santiago,Verona,C,120.076,0.0,2.186,2,24.7,4.792,1.183,1.479,4.289,0.592,0.0,0,battle,0.0
Iannoni,Sassuolo,C,73.493,0.0,2.186,7,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Kostic,Juventus,C,3.63,0.0,1.805,7,13.3,0.0,1.221,1.092,1.992,0.064,0.0,0,backup,0.0
Pickel,Cremonese,C,51.39,0.0,1.428,3,9.3,5.286,0.803,0.625,1.327,0.063,0.008,1,backup,0.0
Ndour,Fiorentina,C,77.739,0.0,1.428,4,13.3,5.71,0.782,0.695,2.142,0.087,0.0,0,backup,0.0
Miller L.,Udinese,C,147.438,0.0,1.056,10,24.7,5.886,0.925,1.057,3.566,0.0,0.0,0,battle,0.0
Engelhardt,Como,C,79.892,0.0,1.056,3,13.3,5.81,0.984,0.929,2.391,0.033,0.0,0,backup,0.0
Sabiri,Fiorentina,C,82.166,0.0,1.056,4,13.3,5.932,1.203,1.069,2.272,0.134,0.0,0,backup,0.0
Estevez,Parma,C,77.685,0.0,1.056,3,13.3,5.79,0.505,0.239,2.048,0.027,0.0,0,backup,0.0
Zarraga,Udinese,C,78.979,0.0,0.69,6,13.3,5.78,0.715,0.057,0.192,0.0,0.0,0,backup,0.0
Alli,Como,C,63.385,0.0,0.69,1,13.3,4.5,1.622,1.253,1.88,0.822,0.0,0,backup,0.0
Basic,Lazio,C,2.444,0.0,0.69,1,13.3,0.0,1.078,1.222,3.163,0.216,0.0,0,backup,0.0
Kaba,Lecce,C,78.268,0.0,0.69,2,13.3,5.88,0.179,0.205,1.356,0.0,0.0,0,backup,0.0
Marchwinski,Lecce,C,0.991,0.0,0.69,2,13.3,0.0,0.448,0.512,1.726,0.0,0.0,0,backup,0.0
Zerbin,Cremonese,C,178.482,0.0,0.333,24,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Liteta,Cagliari,C,72.231,0.0,0.333,6,13.3,5.257,0.739,1.008,1.276,0.134,0.0,0,backup,0.0
Bianco,Fiorentina,C,82.166,0.0,0.333,2,13.3,5.932,1.203,1.069,2.272,0.134,0.0,0,backup,0.0
Hojholt,Pisa,C,73.493,0.0,0.333,2,13.3,5.286,1.148,0.894,1.898,0.09,0.011,0,backup,0.0
Pafundi,Udinese,C,76.348,0.0,0.333,6,13.3,5.67,0.423,0.484,1.632,0.0,0.0,0,backup,0.0
Rog,Cagliari,C,72.231,0.0,0.333,1,13.3,5.257,0.739,1.008,1.276,0.134,0.0,0,backup,0.0
Adzic,Juventus,C,83.249,0.0,0.333,1,13.3,6.0,1.16,1.038,1.892,0.061,0.0,0,backup,0.0
Dumfries,Inter,D,229.787,45.27,116.273,100,32.3,6.19,7.797,2.228,4.455,0.0,0.0,0,starter,6.46
Dimarco,Inter,D,230.649,46.132,115.565,96,32.3,6.31,4.037,9.777,3.028,0.0,0.0,0,starter,6.46
Gosens,Fiorentina,D,216.047,31.53,87.799,86,32.3,6.12,5.047,3.028,6.056,0.0,0.0,0,starter,3.23
Bastoni,Inter,D,216.854,32.338,84.991,78,32.3,6.42,1.009,4.037,4.037,1.009,0.0,0,starter,6.46
Bremer,Juventus,D,213.723,29.207,63.117,44,32.3,6.5,0.853,0.569,4.601,0.142,0.0,0,starter,3.23
Tavares N.,Lazio,D,211.691,27.175,62.528,49,32.3,6.28,0.0,9.83,2.809,1.404,0.0,0,starter,3.23
Cambiaso,Juventus,D,207.003,22.486,62.397,63,32.3,6.09,2.019,3.028,4.037,0.0,0.0,0,starter,3.23
Di Lorenzo,Napoli,D,208.859,24.342,62.22,57,32.3,6.15,2.619,1.746,5.238,0.0,0.0,0,starter,3.23
Angelino,Roma,D,207.077,22.561,60.517,59,32.3,6.14,1.7,0.85,0.85,0.0,0.0,0,starter,3.23
Buongiorno,Napoli,D,211.594,27.078,59.89,44,32.3,6.36,1.468,0.0,2.936,0.0,0.0,0,starter,3.23
Solet,Udinese,D,210.113,25.596,55.664,40,32.3,6.16,3.518,1.695,1.919,1.655,0.032,0,starter,3.23
Bellanova,Atalanta,D,205.243,20.727,54.27,52,32.3,6.04,0.0,8.306,2.769,0.0,0.0,0,starter,3.23
Martin,Genoa,D,207.456,22.939,47.717,32,32.3,6.17,0.0,7.178,4.486,0.0,0.0,0,starter,3.23
Dodò,Fiorentina,D,204.09,19.574,47.6,42,32.3,6.19,0.0,4.614,7.383,0.0,0.0,0,starter,3.23
Valeri,Parma,D,208.854,24.337,47.349,27,32.3,5.94,1.9,8.537,0.95,0.0,0.0,0,starter,3.23
Mancini,Roma,D,205.463,20.947,43.756,30,32.3,6.18,1.746,0.873,6.984,0.0,0.0,0,starter,3.23
Delprato,Parma,D,205.599,21.083,39.557,21,32.3,6.03,3.8,0.0,7.6,0.0,0.0,0,starter,3.23
Marusic,Lazio,D,202.083,17.567,35.327,23,32.3,5.85,4.168,0.0,1.042,0.0,1.042,0,starter,3.23
Vasquez,Genoa,D,203.005,18.489,35.232,20,32.3,6.06,2.692,0.0,8.075,0.0,0.0,0,starter,3.23
Miranda J.,Bologna,D,200.873,16.356,34.026,24,32.3,6.05,0.0,6.683,4.455,1.114,0.0,0,starter,3.23
Gatti,Juventus,D,203.859,19.343,33.098,13,32.3,6.14,1.154,0.0,2.307,0.0,0.0,0,starter,3.23
Gaspar K.,Lecce,D,201.848,17.332,33.042,19,32.3,6.17,0.0,1.346,4.037,0.0,0.0,0,starter,3.23
Pavlovic,Milan,D,199.262,14.745,30.209,21,32.3,5.91,2.936,1.468,4.405,1.468,0.0,0,starter,3.23
Mina,Cagliari,D,199.103,14.587,29.977,21,32.3,6.06,1.434,0.0,4.168,1.042,0.0,0,starter,3.23
Luperto,Cagliari,D,199.722,15.205,29.439,18,32.3,6.0,0.897,1.794,3.589,0.0,0.0,0,starter,3.23
Tiago Gabriel,Lecce,D,204.641,20.125,28.94,2,32.3,6.25,0.773,0.773,2.783,0.619,0.464,0,starter,3.23
N'Dicka,Roma,D,194.565,10.049,25.753,26,32.3,6.05,0.0,0.0,1.7,0.0,0.0,0,starter,0.0
Hien,Atalanta,D,189.846,5.33,24.629,38,32.3,5.95,0.0,0.0,11.138,0.0,0.0,0,starter,3.23
Gila,Lazio,D,195.617,11.101,24.416,20,32.3,6.05,1.009,0.0,8.075,0.0,1.009,0,starter,3.23
Vojvoda,Como,D,198.131,13.614,23.295,10,32.3,5.96,1.196,2.393,7.178,0.0,0.0,0,starter,3.23
Wesley,Roma,D,153.669,0.0,23.099,51,32.3,4.621,0.718,1.256,3.051,0.179,0.179,0,starter,3.23
Biraghi,Torino,D,193.486,8.97,22.759,23,32.3,5.83,1.538,1.178,1.538,0.0,1.538,0,starter,3.23
Comuzzo,Fiorentina,D,194.7,10.183,21.663,17,32.3,5.91,1.154,0.0,5.768,0.0,0.0,0,starter,3.23
Zappacosta,Atalanta,D,161.228,0.0,20.727,46,24.7,5.98,3.293,1.647,2.47,0.0,0.0,0,battle,3.23
Ranieri L.,Fiorentina,D,194.131,9.615,20.37,16,32.3,5.92,1.42,1.794,6.281,0.0,0.0,0,starter,0.0
Zortea,Bologna,D,119.964,0.0,18.368,41,24.7,4.84,0.278,2.081,3.33,0.278,0.139,0,battle,0.0
Ostigard,Genoa,D,193.5,8.984,18.052,13,32.3,5.827,1.108,1.583,5.067,0.158,0.0,0,starter,3.23
Tomori,Milan,D,189.278,4.762,17.656,25,32.3,5.86,0.145,1.706,3.774,1.688,0.054,0,starter,3.23
Zappa,Cagliari,D,192.544,8.028,16.687,13,32.3,5.75,1.794,0.0,3.589,0.0,0.0,0,starter,3.23
Estupinan,Milan,D,177.784,0.0,16.491,37,32.3,5.285,1.452,4.741,5.444,0.726,0.544,0,starter,3.23
Circati,Parma,D,192.374,7.857,16.444,13,32.3,5.83,1.263,0.884,5.152,0.379,0.253,0,starter,3.23
Ehizibue,Udinese,D,190.622,6.106,14.891,15,32.3,5.85,0.0,1.042,5.21,0.0,0.0,0,starter,3.23
Rrahmani,Napoli,D,155.538,0.0,14.16,32,24.7,6.14,0.65,0.65,1.3,0.0,0.65,0,battle,3.23
Carlos Augusto,Inter,D,87.922,0.0,13.695,31,13.3,6.2,1.425,1.425,0.475,0.0,0.0,0,backup,0.0
Lucumì,Bologna,D,186.492,1.976,11.851,21,32.3,5.83,0.0,1.009,8.075,1.009,0.0,0,starter,3.23
Acerbi,Inter,D,151.105,0.0,11.386,26,24.7,6.07,0.0,1.176,0.0,0.0,0.0,0,battle,0.0
Beukema,Napoli,D,121.01,0.0,10.926,25,24.7,4.831,0.842,0.842,2.807,0.0,0.14,0,battle,0.0
Frese,Verona,D,189.523,5.007,10.573,9,32.3,5.79,0.621,0.414,4.344,0.414,0.0,0,starter,3.23
Kalulu,Juventus,D,148.694,0.0,10.468,24,24.7,6.02,0.882,0.0,1.764,0.882,0.0,0,battle,0.0
Scalvini,Atalanta,D,135.546,0.0,10.468,24,24.7,5.5,0.405,1.62,5.628,0.0,0.162,0,battle,0.0
Pavard,Inter,D,148.312,0.0,10.011,23,24.7,6.05,0.0,1.123,4.491,0.0,0.0,0,battle,0.0
Kossounou,Atalanta,D,122.587,0.0,9.554,22,20.7,5.94,0.064,0.255,1.531,0.0,0.025,1,battle,0.0
Romagnoli,Lazio,D,144.248,0.0,9.554,22,24.7,5.84,1.544,0.0,3.088,1.544,0.0,0,battle,0.0
Olivera,Napoli,D,149.353,0.0,9.099,21,24.7,6.08,0.0,0.823,3.293,0.0,0.0,0,battle,0.0
Bisseck,Inter,D,156.433,0.0,9.099,21,24.7,6.0,2.744,1.83,3.659,0.0,0.0,0,battle,0.0
De Vrij,Inter,D,161.628,0.0,8.644,20,24.7,6.18,3.368,0.0,2.245,0.0,0.0,0,battle,0.0
Lovik,Parma,D,187.602,3.085,8.365,10,32.3,5.75,1.444,1.011,4.042,0.433,0.289,0,starter,0.0
Lazaro,Torino,D,150.997,0.0,8.191,19,24.7,5.98,0.0,5.682,4.781,0.0,0.0,0,battle,0.0
Kamara H.,Udinese,D,151.348,0.0,8.191,19,24.7,5.93,0.823,3.293,4.94,0.823,0.0,0,battle,3.23
Vitik,Bologna,D,160.106,0.0,7.739,18,32.3,4.84,0.363,2.722,4.355,0.363,0.181,0,starter,3.23
Joao Mario,Juventus,D,162.622,0.0,7.739,18,32.3,4.975,1.219,0.813,4.266,0.203,0.0,0,starter,0.0
Baschirotto,Cremonese,D,170.858,0.0,7.739,18,32.3,5.142,1.205,1.491,4.879,0.344,0.225,0,starter,3.23
Gutierrez,Napoli,D,121.01,0.0,7.739,18,24.7,4.831,0.842,0.842,2.807,0.0,0.14,0,battle,0.0
Celik,Roma,D,76.652,0.0,7.739,18,13.3,5.78,0.0,0.887,2.217,0.0,0.0,0,backup,0.0
Jimenez A.,Milan,D,154.768,0.0,7.739,18,24.7,5.95,2.8,2.932,7.057,0.0,0.0,0,battle,0.0
De Winter,Milan,D,130.551,0.0,7.288,17,24.7,5.285,1.11,0.694,4.163,0.555,0.416,0,battle,0.0
Idzes,Sassuolo,D,170.858,0.0,7.288,17,32.3,5.142,1.205,1.491,4.879,0.344,0.225,0,starter,3.23
Doig,Sassuolo,D,170.858,0.0,7.288,17,32.3,5.142,1.205,1.491,4.879,0.344,0.225,0,starter,3.23
